Water / Cement Ratio,NCA Fineness Modulus,NCA (kg/m3),RCA Fineness Modulus,RCA Absorption Capacity (%),RCA (kg/m3),Replacement Percentage of RCA (%),NFA Fineness Modulus,NFA (kg/m3),CR Fineness Modulus,CR (kg/m3),Replacement Percentage of CR (%),Addition of Fiber (kg/m3),Addition of Fiber (%),No Fiber,PP,SteelTireWire,Age in Days,Tensile  Strength (MPa)
0.38,6.51,990.2,0,0,0,0,2.39,678.7,0,0,0,0,0,1,0,0,28,3.14
0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,0,0,1,0,0,28,3.07
0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,9.1,1,0,1,0,28,3.16
0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,18.2,2,0,1,0,28,3.79
0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,662.1,3.49,16.6,5,9.1,1,0,1,0,28,2.82
0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,662.1,3.49,16.6,5,18.2,2,0,1,0,28,3.66
0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,645.5,3.49,33.2,10,9.1,1,0,1,0,28,2.79
0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,645.5,3.49,33.2,10,18.2,2,0,1,0,28,2.92
0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,0,0,1,0,0,28,3.03
0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,9.1,1,0,1,0,28,3.19
0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,18.2,2,0,1,0,28,3.49
0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,662.1,3.49,16.6,5,9.1,1,0,1,0,28,2.77
0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,662.1,3.49,16.6,5,18.2,2,0,1,0,28,2.98
0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,645.5,3.49,33.2,10,9.1,1,0,1,0,28,2.45
0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,645.5,3.49,33.2,10,18.2,2,0,1,0,28,2.64
0.38,6.51,990.2,0,0,0,0,2.39,678.7,0,0,0,0,0,1,0,0,56,3.38
0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,0,0,1,0,0,56,3.29
0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,9.1,1,0,1,0,56,3.78
0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,678.7,0,0,0,18.2,2,0,1,0,56,3.98
0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,662.1,3.49,16.6,5,9.1,1,0,1,0,56,3.45
0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,662.1,3.49,16.6,5,18.2,2,0,1,0,56,3.89
0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,645.5,3.49,33.2,10,9.1,1,0,1,0,56,3.12
0.38,6.51,891.2,6.45,3.23,99.02,10,2.39,645.5,3.49,33.2,10,18.2,2,0,1,0,56,3.24
0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,0,0,1,0,0,56,3.21
0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,9.1,1,0,1,0,56,3.69
0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,678.7,0,0,0,18.2,2,0,1,0,56,3.95
0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,662.1,3.49,16.6,5,9.1,1,0,1,0,56,3.09
0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,662.1,3.49,16.6,5,18.2,2,0,1,0,56,3.15
0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,645.5,3.49,33.2,10,9.1,1,0,1,0,56,3.04
0.38,6.51,693.2,6.45,3.23,297.06,30,2.39,645.5,3.49,33.2,10,18.2,2,0,1,0,56,3.11
0.44,6.51,1015,0,0,0,0,2.39,638,0,0,0,0,0,1,0,0,28,2.53
0.44,6.51,1015,0,0,0,0,2.39,638,0,0,0,0,0,1,0,0,28,2.57
0.44,6.51,1015,0,0,0,0,2.39,638,0,0,0,0,0,1,0,0,28,2.47
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,0,0,1,0,0,28,2.86
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,0,0,1,0,0,28,2.33
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,0,0,1,0,0,28,2.13
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,4.54,0.5,0,1,0,28,2.23
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,4.54,0.5,0,1,0,28,2.67
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,638,0,0,0,4.54,0.5,0,1,0,28,2.86
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,0,0,1,0,0,28,2.37
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,0,0,1,0,0,28,2.37
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,0,0,1,0,0,28,2.23
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,4.54,0.5,0,1,0,28,2.48
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,4.54,0.5,0,1,0,28,2.51
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,622.4,3.49,15.62,5,4.54,0.5,0,1,0,28,2.43
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,606.8,3.49,31.24,10,0,0,1,0,0,28,2.44
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,606.8,3.49,31.24,10,0,0,1,0,0,28,2.1
0.44,6.51,710.5,6.45,3.23,304.5,30,2.39,606.8,3.49,31.24,10,0,0,1,0,0,28,2.18
